NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    314m         1%     4269Mi          6%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3168Mi          4%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    67m          0%     3164Mi          4%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3235Mi          5%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    64m          0%     3833Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    64m          0%     3166Mi          4%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3194Mi          4%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3177Mi          4%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3269Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3213Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3228Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3133Mi          4%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3263Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    57m          0%     3161Mi          4%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3155Mi          4%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3190Mi          4%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    55m          0%     3187Mi          4%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3260Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3307Mi          5%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   53m          0%     3821Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    52m          0%     3228Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3154Mi          4%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3781Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3162Mi          4%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3208Mi          5%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3758Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     3236Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3965Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    48m          0%     2344Mi          3%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3781Mi          5%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3766Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3207Mi          5%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3762Mi          5%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    43m          0%     3816Mi          5%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3880Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3157Mi          4%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3815Mi          5%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3765Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3822Mi          5%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   41m          0%     3749Mi          5%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   41m          0%     3715Mi          5%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   40m          0%     3763Mi          5%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3866Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3767Mi          5%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3837Mi          5%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3754Mi          5%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    37m          0%     3838Mi          5%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   37m          0%     3766Mi          5%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   36m          0%     3746Mi          5%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   34m          0%     3791Mi          5%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   31m          0%     3789Mi          5%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   31m          0%     3760Mi          5%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    428m         2%     4266Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3191Mi          4%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3160Mi          4%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3261Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3227Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3197Mi          4%        
