NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    1592m        9%     5044Mi          7%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   129m         0%     3475Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    126m         0%     3361Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   118m         0%     3432Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     3459Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     3440Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    113m         0%     3352Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   113m         0%     3408Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    110m         0%     3365Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    110m         0%     3360Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3364Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     3396Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   108m         0%     3384Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   106m         0%     3441Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     3315Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3337Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3355Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3405Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3347Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3333Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     3414Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     3370Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    92m          0%     3476Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3345Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3352Mi          5%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4061Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3919Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4005Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    76m          0%     3986Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3921Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3975Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3875Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3963Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     4010Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3940Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3935Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3990Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     3957Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3941Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3958Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    66m          0%     3988Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3965Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     4125Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3941Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3928Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    61m          0%     3980Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4070Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3933Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3951Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    52m          0%     2378Mi          3%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3924Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   36m          0%     3949Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    379m         2%     5011Mi          7%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   99m          0%     3433Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     3404Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3473Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3416Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3386Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3461Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3346Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3399Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    86m          0%     3353Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3371Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3441Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    85m          0%     3362Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3365Mi          5%        
