NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    352m         2%     4433Mi          6%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    102m         0%     3500Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     3414Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3512Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    94m          0%     3458Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3420Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3471Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3430Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3473Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3414Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3555Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3414Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3499Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    80m          0%     3443Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    79m          0%     3435Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    79m          0%     3429Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3392Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3504Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3469Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3488Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3531Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3445Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     4222Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     4095Mi          6%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3550Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3457Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3458Mi          5%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4026Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4085Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     4110Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     4042Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    59m          0%     4083Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4020Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    58m          0%     4092Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     4022Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     4048Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4014Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3987Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4075Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4122Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4022Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4002Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     4033Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    51m          0%     4061Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     4020Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     4133Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    49m          0%     2345Mi          3%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     4006Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3960Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     4011Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   43m          0%     4000Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   34m          0%     4038Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    367m         2%     4428Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     4041Mi          6%        
