NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    879m         5%     4857Mi          7%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   120m         0%     3325Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   118m         0%     3412Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     3387Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    110m         0%     3340Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3335Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3345Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3283Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    96m          0%     3315Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     3315Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3307Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3336Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3411Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3313Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3329Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    86m          0%     3327Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3364Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3411Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    82m          0%     3387Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    81m          0%     3339Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3305Mi          5%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3903Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3413Mi          5%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3919Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3424Mi          5%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3909Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3296Mi          5%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3847Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3967Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3979Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4016Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3907Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     3939Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     4098Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     3914Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     3959Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    63m          0%     3964Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4033Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     3913Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3904Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3918Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3909Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    56m          0%     2383Mi          3%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3892Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3349Mi          5%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3916Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3902Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3911Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3901Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    48m          0%     3958Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     3922Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   34m          0%     3901Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    369m         2%     4822Mi          7%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   99m          0%     3389Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    95m          0%     3340Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3307Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3414Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3335Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3283Mi          5%        
