NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    395m         2%     5310Mi          8%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   133m         0%     3816Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    115m         0%     3832Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3936Mi          6%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3909Mi          6%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3842Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     3823Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   106m         0%     3809Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   103m         0%     3872Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3869Mi          6%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    102m         0%     3838Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3930Mi          6%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3841Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     3925Mi          6%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     3978Mi          6%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    99m          0%     3850Mi          6%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    99m          0%     3900Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3864Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3894Mi          6%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     3885Mi          6%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    95m          0%     3896Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     3940Mi          6%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     3850Mi          6%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     3890Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     4458Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     3790Mi          5%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     4434Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    84m          0%     4505Mi          7%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4558Mi          7%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4409Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4491Mi          7%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4541Mi          7%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     4632Mi          7%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     4568Mi          7%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     4437Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    77m          0%     4482Mi          6%        
