NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    338m         2%     5489Mi          8%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   320m         2%     7709Mi          12%       
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    319m         1%     7778Mi          12%       
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   308m         1%     7672Mi          11%       
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   308m         1%     7748Mi          12%       
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   306m         1%     7835Mi          12%       
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    300m         1%     7748Mi          12%       
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   296m         1%     7764Mi          12%       
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   294m         1%     7744Mi          12%       
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   293m         1%     7855Mi          12%       
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   292m         1%     7813Mi          12%       
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    290m         1%     7806Mi          12%       
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    289m         1%     7811Mi          12%       
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   284m         1%     7776Mi          12%       
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   281m         1%     7734Mi          12%       
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   280m         1%     7846Mi          12%       
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   266m         1%     7772Mi          12%       
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   248m         1%     7748Mi          12%       
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   243m         1%     8524Mi          13%       
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    233m         1%     7835Mi          12%       
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    231m         1%     8427Mi          13%       
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   227m         1%     7814Mi          12%       
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   225m         1%     7796Mi          12%       
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   223m         1%     8397Mi          13%       
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   221m         1%     7867Mi          12%       
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   217m         1%     7813Mi          12%       
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   215m         1%     8333Mi          13%       
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   214m         1%     8368Mi          13%       
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   211m         1%     8400Mi          13%       
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   209m         1%     8545Mi          13%       
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    209m         1%     8384Mi          13%       
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   206m         1%     8387Mi          13%       
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   204m         1%     8328Mi          12%       
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   193m         1%     7775Mi          12%       
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   190m         0%     8349Mi          13%       
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   190m         0%     8399Mi          13%       
