NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    311m         1%     4336Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3978Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3250Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3306Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3258Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3361Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3371Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     3307Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3298Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3262Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3362Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3311Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3227Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3344Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     3266Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     3420Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    60m          0%     3323Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    60m          0%     3282Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    59m          0%     3276Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3333Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3283Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3258Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3274Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4072Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3848Mi          6%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3316Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    52m          0%     3260Mi          5%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3869Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3327Mi          5%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3874Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3856Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3864Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3870Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    48m          0%     3945Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3873Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3856Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    45m          0%     3937Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3894Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3850Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3928Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    44m          0%     2351Mi          3%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3831Mi          5%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   43m          0%     3872Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3907Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   40m          0%     3934Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3981Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3944Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3889Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    37m          0%     3925Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     3856Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     3864Mi          6%        
