NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    310m         1%     4633Mi          7%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    117m         0%     3480Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     3435Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3548Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     3491Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3452Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    94m          0%     3455Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3488Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3515Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3519Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     3402Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3440Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    87m          0%     3443Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3442Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3433Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    86m          0%     3523Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3493Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     4123Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3499Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3540Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3473Mi          5%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     4035Mi          6%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3574Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    77m          0%     3450Mi          5%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    74m          0%     4110Mi          6%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   74m          0%     3472Mi          5%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     4050Mi          6%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3456Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3523Mi          5%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     4106Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     4036Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     4049Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     4045Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     4237Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     4109Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4091Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4067Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    66m          0%     4120Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4055Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4039Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     4086Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4032Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4164Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4036Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3983Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4024Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4050Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4036Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     4157Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     4027Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    42m          0%     2344Mi          3%        
