NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    941m         5%     4870Mi          7%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   128m         0%     3412Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   116m         0%     3383Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    115m         0%     3333Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   108m         0%     3436Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   104m         0%     3328Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   104m         0%     3313Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    103m         0%     3326Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    103m         0%     3319Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    99m          0%     3326Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3372Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3284Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     3421Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3338Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3410Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3412Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3320Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     3315Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3353Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    87m          0%     3402Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3354Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3336Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3324Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3350Mi          5%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3973Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3317Mi          5%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     4048Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3987Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3923Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3919Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     4110Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3927Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    66m          0%     3978Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3954Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4024Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3914Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3903Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3928Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     3924Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3911Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     3917Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3935Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3980Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    56m          0%     3975Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3856Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3931Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3913Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   53m          0%     3924Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3916Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3888Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    42m          0%     2378Mi          3%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3937Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    345m         2%     4875Mi          7%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3414Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3324Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3353Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    89m          0%     3337Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3339Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3385Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    82m          0%     3327Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3335Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3355Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3419Mi          5%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3914Mi          6%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3352Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3286Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    73m          0%     3322Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3329Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3413Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3412Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    69m          0%     3327Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3372Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    67m          0%     3404Mi          5%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    67m          0%     3925Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3987Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3437Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3315Mi          5%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3921Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3915Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3315Mi          5%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     3970Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3315Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3323Mi          5%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3857Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     4049Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    56m          0%     3981Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3927Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4111Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4027Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   53m          0%     3913Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3933Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3919Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3984Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   47m          0%     3904Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3920Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3955Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    46m          0%     2379Mi          3%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    46m          0%     3977Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3925Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3927Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   40m          0%     3930Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   40m          0%     3925Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   36m          0%     3889Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     3935Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    323m         2%     4870Mi          7%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   111m         0%     3415Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3389Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    90m          0%     3335Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    87m          0%     3328Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    85m          0%     3406Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3323Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3330Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3353Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3356Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    80m          0%     3329Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3438Mi          5%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3915Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3315Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3286Mi          5%        
