NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    465m         2%     4832Mi          7%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   99m          0%     3433Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     3339Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    93m          0%     3328Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3326Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3306Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3331Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3370Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    83m          0%     3327Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3382Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3303Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    81m          0%     3334Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3401Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3311Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    78m          0%     3295Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3285Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3334Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3341Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    75m          0%     3375Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3322Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3394Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3289Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3398Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3311Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3300Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3975Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    66m          0%     3958Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4042Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    65m          0%     3916Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     3978Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     3893Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3916Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3893Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3903Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3890Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3992Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     4097Mi          6%        
