NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    302m         1%     4886Mi          7%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3771Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   103m         0%     3664Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3711Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3653Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    96m          0%     3685Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     3710Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     3810Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    93m          0%     3742Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    93m          0%     3670Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3771Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3649Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3729Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3670Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4460Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3681Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3763Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     3729Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3662Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3635Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    88m          0%     3693Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3751Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3704Mi          5%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     4346Mi          6%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3676Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3714Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    81m          0%     3677Mi          5%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4376Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     4226Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    77m          0%     4322Mi          6%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     4385Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     4296Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    75m          0%     4343Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     4283Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     4224Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     4268Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     4264Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     4256Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     4271Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     4309Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     4264Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     4386Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     4339Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    67m          0%     4337Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     4274Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4256Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4256Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     4263Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4259Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    52m          0%     2349Mi          3%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   43m          0%     4299Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     4273Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    398m         2%     4887Mi          7%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    286m         1%     3673Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   136m         0%     3748Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    133m         0%     3672Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   124m         0%     3767Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   124m         0%     3655Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    122m         0%     3684Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   120m         0%     3678Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   118m         0%     3805Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   118m         0%     3702Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     3625Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     3708Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     3675Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   116m         0%     3655Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    116m         0%     3661Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     3709Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     3704Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   113m         0%     3645Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   111m         0%     4382Mi          6%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   111m         0%     3724Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     3647Mi          5%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     4347Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     4458Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   106m         0%     3759Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   106m         0%     3724Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    105m         0%     3740Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     3667Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   104m         0%     3764Mi          5%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     4376Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     4222Mi          6%        
