NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    120m         0%     4062Mi          6%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    116m         0%     4046Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   116m         0%     4012Mi          6%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   115m         0%     4095Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   115m         0%     4659Mi          7%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    114m         0%     4112Mi          6%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   114m         0%     4054Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   112m         0%     4055Mi          6%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   112m         0%     4067Mi          6%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     4142Mi          6%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     4076Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   107m         0%     4168Mi          6%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    107m         0%     4164Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     4112Mi          6%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   104m         0%     4108Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     4758Mi          7%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     4589Mi          7%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    95m          0%     4697Mi          7%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     4832Mi          7%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     4786Mi          7%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     4648Mi          7%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     4727Mi          7%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     4633Mi          7%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     4645Mi          7%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     4647Mi          7%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4651Mi          7%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     4641Mi          7%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4767Mi          7%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     4641Mi          7%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    78m          0%     4729Mi          7%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     4638Mi          7%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     4698Mi          7%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     4737Mi          7%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     4661Mi          7%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    73m          0%     4719Mi          7%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     4693Mi          7%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     4647Mi          7%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4655Mi          7%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    59m          0%     2368Mi          3%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4706Mi          7%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     4752Mi          7%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    388m         2%     5552Mi          8%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   145m         0%     4073Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   145m         0%     4027Mi          6%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    143m         0%     4101Mi          6%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    142m         0%     4045Mi          6%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   133m         0%     4055Mi          6%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   132m         0%     4179Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   132m         0%     4111Mi          6%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   131m         0%     4086Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   131m         0%     4031Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   131m         0%     4164Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   130m         0%     4158Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   129m         0%     4729Mi          7%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   128m         0%     4107Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   128m         0%     4006Mi          6%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   126m         0%     4064Mi          6%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   125m         0%     4051Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   123m         0%     4055Mi          6%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   123m         0%     4139Mi          6%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    123m         0%     4058Mi          6%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   122m         0%     4072Mi          6%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   121m         0%     4093Mi          6%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   121m         0%     4107Mi          6%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    121m         0%     4105Mi          6%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    120m         0%     4158Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     4081Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     4752Mi          7%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    107m         0%     4691Mi          7%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     4781Mi          7%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   103m         0%     4762Mi          7%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     4649Mi          7%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     4647Mi          7%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     4585Mi          7%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     4655Mi          7%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     4733Mi          7%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     4641Mi          7%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4832Mi          7%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4634Mi          7%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     4644Mi          7%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     4693Mi          7%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    89m          0%     4720Mi          7%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     4692Mi          7%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     4650Mi          7%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     4659Mi          7%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    87m          0%     4729Mi          7%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     4647Mi          7%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4656Mi          7%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4637Mi          7%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     4642Mi          7%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    68m          0%     2366Mi          3%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4752Mi          7%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     4705Mi          7%        
