NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    372m         2%     4722Mi          7%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    110m         0%     3531Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   107m         0%     3615Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3520Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3560Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    93m          0%     3520Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    92m          0%     3538Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3501Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    91m          0%     3552Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3525Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3509Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3665Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3626Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     3518Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3590Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3583Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3522Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3631Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3473Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3566Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    80m          0%     3586Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3554Mi          5%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    76m          0%     4172Mi          6%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3556Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     4193Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   74m          0%     3565Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   74m          0%     3584Mi          5%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     4135Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     4104Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     4111Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     4326Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4113Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4184Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4241Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    64m          0%     4176Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     4099Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     4113Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4119Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4103Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4117Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4182Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4235Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     4114Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     4146Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     4109Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     4175Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    55m          0%     2348Mi          3%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4102Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    54m          0%     4185Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   53m          0%     4064Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     4117Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     4152Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    310m         1%     4716Mi          7%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3609Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     3558Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   99m          0%     3513Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    97m          0%     3527Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    95m          0%     3516Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    93m          0%     3545Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3563Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3624Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3578Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3584Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3663Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3526Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    84m          0%     3581Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3496Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    82m          0%     3533Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3516Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3518Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3501Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3626Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3469Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3554Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3559Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3584Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   74m          0%     4190Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    67m          0%     4175Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4235Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4323Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3547Mi          5%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     4115Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     4161Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4139Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4126Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4110Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4101Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4095Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4232Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4109Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    61m          0%     4177Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4060Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4178Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4170Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4110Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     4112Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     4183Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4117Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4110Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4099Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   53m          0%     4094Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    51m          0%     2348Mi          3%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   36m          0%     4114Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   31m          0%     4149Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    306m         1%     4726Mi          7%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    100m         0%     3527Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     3555Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    97m          0%     3544Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3573Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    95m          0%     3524Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     3512Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3583Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3524Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3509Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   88m          0%     3607Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3544Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    86m          0%     3579Mi          5%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    84m          0%     4160Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3502Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3516Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3664Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    81m          0%     3514Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3497Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3562Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3470Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3560Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3582Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3551Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3624Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     4192Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    73m          0%     4178Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3625Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     4320Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     4102Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     4183Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     4108Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     4234Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     4110Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     4097Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     4174Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     4167Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     4108Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4118Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4140Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4173Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4231Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4113Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     4092Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     4095Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4111Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4111Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     4125Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     4061Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    47m          0%     2347Mi          3%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     4114Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     4145Mi          6%        
