NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    326m         2%     5047Mi          7%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   158m         0%     4023Mi          6%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    150m         0%     4017Mi          6%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    150m         0%     3999Mi          6%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    149m         0%     4126Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   147m         0%     4001Mi          6%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   146m         0%     4076Mi          6%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   143m         0%     4014Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   143m         0%     4054Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   142m         0%     3998Mi          6%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   140m         0%     4087Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   139m         0%     4121Mi          6%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   138m         0%     4008Mi          6%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   137m         0%     4145Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   136m         0%     4110Mi          6%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   136m         0%     4053Mi          6%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   135m         0%     4045Mi          6%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   135m         0%     4000Mi          6%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   135m         0%     4076Mi          6%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   134m         0%     4057Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   133m         0%     4064Mi          6%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    131m         0%     4015Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   128m         0%     4039Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   126m         0%     3967Mi          6%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    123m         0%     4085Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   115m         0%     4612Mi          7%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   113m         0%     4607Mi          7%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     4734Mi          7%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   107m         0%     4728Mi          7%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     4811Mi          7%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   104m         0%     4617Mi          7%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    103m         0%     4677Mi          7%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    102m         0%     4657Mi          7%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     4600Mi          7%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     4602Mi          7%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   98m          0%     4612Mi          7%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   96m          0%     4603Mi          7%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     4617Mi          7%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     4712Mi          7%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    95m          0%     4667Mi          7%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   94m          0%     4612Mi          7%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     4566Mi          7%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     4628Mi          7%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4671Mi          7%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4636Mi          7%        
