NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    472m         2%     4879Mi          7%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   130m         0%     3348Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   127m         0%     3340Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   127m         0%     3403Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   125m         0%     3316Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    112m         0%     3485Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3307Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   108m         0%     3340Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    107m         0%     3346Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   107m         0%     3376Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   106m         0%     3380Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   103m         0%     3348Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3369Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3411Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3332Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3440Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3362Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    98m          0%     3350Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3421Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    97m          0%     3324Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    94m          0%     3342Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     3360Mi          5%        
