NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    1092m        6%     4971Mi          7%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   141m         0%     3398Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    122m         0%     3362Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     3460Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   116m         0%     3348Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   112m         0%     3398Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   110m         0%     3348Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     3322Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     3435Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   109m         0%     3347Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     3330Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     3395Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    103m         0%     3344Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    103m         0%     3486Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   103m         0%     3998Mi          6%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3333Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     3318Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3353Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     3439Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   100m         0%     3327Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    98m          0%     3348Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   97m          0%     3438Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     3381Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    91m          0%     3321Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     3332Mi          5%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4066Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3400Mi          5%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     4036Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3950Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     4128Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   74m          0%     3942Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3955Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3922Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     3983Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3927Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3934Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3910Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    66m          0%     3996Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    66m          0%     3925Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3930Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   64m          0%     3982Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     3978Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3987Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3859Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3941Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3935Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3924Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3903Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   53m          0%     3911Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    52m          0%     2374Mi          3%        
