NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    526m         3%     4779Mi          7%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   95m          0%     3330Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3397Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   90m          0%     3291Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     3307Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     3334Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    83m          0%     3315Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3317Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   82m          0%     3275Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   81m          0%     3281Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    80m          0%     3307Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3412Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    79m          0%     3371Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3307Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    79m          0%     3325Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3343Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   78m          0%     3380Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3299Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3401Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3369Mi          5%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3884Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3295Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     4095Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3343Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     3268Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    65m          0%     3300Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3965Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3300Mi          5%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     3902Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3892Mi          6%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3967Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3907Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    56m          0%     2379Mi          3%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     4031Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3893Mi          6%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    51m          0%     3958Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3914Mi          6%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     3867Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     3890Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    50m          0%     3958Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3905Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3836Mi          5%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3989Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    49m          0%     3907Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3956Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3896Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3929Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3877Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   41m          0%     3890Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   40m          0%     3897Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   30m          0%     3886Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   28m          0%     3907Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    374m         2%     4780Mi          7%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     3275Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   74m          0%     3399Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3308Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3319Mi          5%        
