NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    458m         2%     4801Mi          7%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     3291Mi          5%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   80m          0%     3337Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   79m          0%     3393Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   75m          0%     3331Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    73m          0%     3305Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   73m          0%     3338Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   72m          0%     3377Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3323Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3297Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    70m          0%     3304Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3394Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   70m          0%     3296Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    68m          0%     3370Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     3396Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3412Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    65m          0%     3292Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    65m          0%     3300Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3279Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3277Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     3297Mi          5%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4022Mi          6%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     4080Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3297Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3949Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3270Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3303Mi          5%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3963Mi          6%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3312Mi          5%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     3886Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   50m          0%     3896Mi          6%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3884Mi          6%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   47m          0%     3983Mi          6%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   47m          0%     3923Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   47m          0%     3903Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    47m          0%     2380Mi          3%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    46m          0%     3948Mi          6%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3829Mi          5%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3880Mi          6%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3871Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    43m          0%     3956Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    40m          0%     3902Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3877Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3899Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3901Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3887Mi          6%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3876Mi          6%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   38m          0%     3939Mi          6%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   35m          0%     3900Mi          6%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   34m          0%     3903Mi          6%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   28m          0%     3906Mi          6%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   24m          0%     3875Mi          6%        
NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    362m         2%     4804Mi          7%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     3339Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3378Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   71m          0%     3299Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3322Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    69m          0%     3293Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    67m          0%     3306Mi          5%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3271Mi          5%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3297Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3314Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3394Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    65m          0%     3303Mi          5%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     3393Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    61m          0%     3371Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     3279Mi          5%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3291Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3331Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   60m          0%     3949Mi          6%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3296Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3397Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     4083Mi          6%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    59m          0%     3300Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3279Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3338Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3295Mi          5%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3408Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3303Mi          5%        
